"All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI"
"pgc","Name/Profile","Vh_av","Wmx_av","eW_av","N_av","Source1","Tel1","Vhel1","Wm501","Wcm501","Wmx1","e_W1","SN1","Flux1","Res1","Ns1","Fm501"
"%7s","%9s","%6d","%6d","%4d","%2d","%7s","%5s","%6d","%6d","%6d","%6d","%4d","%5.1f","%6.2f","%4.1f","%2d","%6.1f"
"---",,"km/s","km/s","km/s",,,,"km/s","km/s","km/s","km/s","km/s",,"Jy.km/s","km/s",,"mJy"
"The Catalogue of Principal Galaxies (PGC) Number","Common name; click for profiles","Heliocentric velocity; weighted average","Line width approximating twice the maximum rotation; not corrected for galaxy inclination; weighted average","Weighted error in linewidth measure","Number of sources contributing to averaged velocity and linewidth","Source of HI information","Telescope/receiver","Heliocentric velocity","Line width at 50% of mean flux","Line width at 50% of mean flux corrected for redshift and spectral resolution broadening","Line width approximating twice the maximum rotation; not corrected for galaxy inclination; blank if error > 20 km/s","Error in linewidth measure","Signal to noise","HI line flux","Spectral channel resolution","Displayed profile smoothed over Ns spectral channels","Flux/channel at 50% of mean"
4,"AGC331060",4458,154,16,1,"shg2005","AOlf",4458,173,162,154,16,8.5,1.85,8.5,2,5.3
6,"AGC331061",6002,217,20,1,"shg2005","AOlf",6002,248,226,217,20,2,0.82,8.6,4,1.6
12,"PG0000012",6548,400,19,1,"tmc2006","Nanc",6548,424,409,400,19,2.4,3.4,11,1,3.9
16,"PG0000016",5668,296,20,1,"tmc2006","Nanc",5668,316,305,296,20,2.2,1.04,11,1,1.5
20,"AGC331066",,,,,"shg2005","AOlf",7380,269,245,,50,3.8,2.4,8.7,4,2.8
29,"AGC331067",,,,,"shg2005","AOlf",12701,163,147,,50,2.4,0.53,8.9,2,2
38,"UGC12893",1108,78,19,1,"shg2005","AOlf",1108,87,82,78,19,3.8,2.41,8.5,1,13.8
40,"PG0000040",7282,289,20,1,"tmc2006","Nanc",7282,316,298,289,20,5,5.2,10.8,2,8.2
47,"UGC12896",,,,,"shg2005","AOlf",7676,181,172,,25,3.6,2.61,8.8,1,5.9
53,"UGC12895",6769,158,17,1,"shg2005","AOlf",6769,175,167,158,17,6.1,3.76,8.8,1,10.5
54,"UGC12897",,,,,"shg2005","AOlf",8858,375,355,,27,1.7,0.55,8.8,2,0.7
55,"UGC12898",4779,179,10,1,"shg2005","AOlf",4779,195,188,179,10,14.9,4.3,8.5,1,11
58,"AGC331071",,,,,"shg2005","AOlf",8795,488,457,,100,0.7,0.36,8.7,4,0.4
68,"ES538-017",7664,206,18,1,"tmc2006","Nanc",7664,226,215,206,18,4,1.61,10.8,1,3.5
70,"UGC12900",6800,426,12,2,"shg2005","AOlf",6804,449,435,426,15,7.9,8.55,8.6,1,6.5
73,"AGC036544",6909,139,14,2,"shg2005","Nanc",6910,165,150,142,20,7.5,3.55,5.5,4,8.3
76,"UGC12901",6920,409,18,1,"shg2005","AOlf",6920,432,418,409,18,4.6,3.82,8.8,1,4.4
94,"UGC012905",4098,188,14,1,"ctm2010","GBT",4098,203,197,188,14,8.9,3.61,1.6,4,8.6
101,"UGC12906",,,,,"shg2005","AOlf",5306,304,294,,40,3.7,3.97,8.5,1,5.6
102,"UGC12909",5048,428,20,1,"shg2005","AOlf",5048,449,437,428,20,2.5,5.58,8.7,1,6.1
110,"UGC12910",3974,56,12,1,"shg2005","AOlf",3974,64,59,56,12,12.1,2.93,8.6,1,22.1
112,"UGC12911",4794,271,20,1,"shg2005","AOlf",4794,289,280,271,20,2.5,1.29,8.7,1,2.3
116,"UGC12912",9268,318,19,1,"shg2005","AOlf",9268,342,327,318,19,3.7,1.71,8.9,1,2.5
117,"AGC331079",9133,193,19,1,"shg2005","AOlf",9133,213,202,193,19,2.1,0.92,8.8,1,2.1
118,"AGC331082",6364,119,16,1,"shg2005","AOlf",6364,133,126,119,16,5.8,2.23,8.6,1,8.1
119,"AGC331083",,,,,"shg2005","AOlf",7465,243,228,,50,1.5,1.51,8.6,2,2.5
120,"UGC12914",,,,,"shg2005","AOlf",4409,625,612,,100,10.5,12.99,8.6,1,10.3
124,"UGC12913",6350,248,20,1,"shg2005","AOlf",6350,267,257,248,20,2.6,4.39,8.8,1,8.3
128,"AGC102734",12559,212,18,1,"hgm2011","ALFA",12559,233,221,212,18,4.2,1.71,5.7,1,3.3
129,"UGC12915",,,,,"ctf2009","GBT",4397,583,570,,100,22.3,15.37,2.1,4,12.4
143,"P0000143",-125,52,7,2,"ctf2009","GBT",-126,55,55,52,8,205.8,210.09,1,1,1603.4
146,"UGC12916",6360,163,19,1,"shg2005","AOlf",6360,180,172,163,19,3.7,1.82,8.8,1,5
149,"AGC331086",,,,,"shg2005","AOlf",9516,32,22,,200,-3,-0.74,8.8,2,-2.1
155,"AGC331088",7943,212,20,1,"shg2005","AOlf",7943,244,221,212,20,0.1,0.79,8.6,4,1.6
156,"UGC12918",1056,96,8,1,"shg2005","AOlf",1056,106,101,96,8,18.6,7.45,8.5,1,35.1
163,"UGC12919",5487,383,19,1,"shg2005","AOlf",5487,404,392,383,19,3.5,4.2,8.6,1,5.2
165,"UGC12920",7620,275,13,2,"shg2005","AOlf",7626,300,288,279,18,4.2,3.01,8.8,1,4.9
176,"AGC400001",6465,349,14,2,"shg2005","Nanc",6466,371,360,351,19,2.6,3.48,5.5,1,4
178,"UGC00001",,,,,"shg2005","AOlf",5837,123,116,,100,22.7,2.19,8.6,1,7.5
179,"AGC100002",5537,289,20,1,"shg2005","AOlf",5537,312,298,289,20,2.1,1.28,8.6,2,2.1
181,"ES012-014",1960,95,13,1,"ksk2004","PAKS",1960,108,101,95,13,12.2,23.61,13.4,1,99.8
185,"AGC100003",6278,133,20,1,"shg2005","AOlf",6278,153,141,133,20,2.8,0.62,8.6,2,2.3
186,"UGC00003",7894,480,18,1,"shg2005","AOlf",7894,506,489,480,18,4.8,5.94,8.8,1,5.8
190,"AGC100006",4946,97,18,1,"shg2005","AOlf",4946,109,103,97,18,4,1.37,8.6,1,6.7
195,"NGC007812",6811,221,20,1,"tmc2006","Nanc",6811,246,230,221,20,3.7,2.48,11,2,5.2
198,"AGC100008",4838,115,17,1,"hgm2011","ALFA",4838,127,122,115,17,5.7,1.33,5.3,1,5.1
199,"AGC100009",,,,,"shg2005","AOlf",7875,503,481,,25,2.3,1.47,8.7,2,1
201,"UGC00004",8629,302,19,1,"shg2005","AOlf",8629,324,311,302,19,1.9,1.23,8.7,1,2
205,"UGC00005",7267,447,20,1,"shg2005","AOlf",7286,511,495,,25,2,4.43,8.7,1,6.3
207,"UGC00006",,,,,"ctf2009","GBT",6597,342,326,,25,2.6,1.9,2.2,8,2.1
208,"AGC100011",7762,49,19,1,"shg2005","AOlf",7762,57,51,49,19,3,0.26,8.6,1,2.2
212,"UGC00007",11229,683,19,1,"shg2005","AOlf",11229,723,692,683,19,3.7,3.76,8.9,1,2.7
216,"AGC100012",7989,310,20,1,"shg2005","AOlf",7989,332,319,310,20,6.6,4.84,8.7,1,6.6
218,"NGC07814",1051,455,7,2,"ctf2009","AOG",1051,466,462,453,8,26.2,11.74,1.3,4,12.6
226,"UGC00010",11966,240,18,1,"shg2005","AOlf",11966,264,249,240,18,5.1,6.16,9,1,10.9
227,"UGC00011",,,,,"shg2005","AOlf",4473,140,134,,50,5,1.82,8.5,1,5.6
229,"AGC100014",6190,143,20,1,"shg2005","AOlf",6190,159,151,143,20,7.2,2.95,8.6,1,7.4
234,"AGC102553",4552,98,18,1,"sgh2008","ALFA",4552,108,104,98,18,3.7,0.79,5.3,1,3.9
238,"AGC100015",,,,,"shg2005","AOlf",6298,185,173,,25,1.8,0.26,8.6,2,0.7
240,"UGC00013",,,,,"shg2005","AOlf",7729,200,191,,40,3.1,0.79,8.8,1,2.2
