"# W/ DUPLICATIONS","#","HIPASS_NAME","OBS_RUN_NIGHT","OBS_DATE","NAME","OBSERVATION COMMENTS","NOD&SHUFFLE","RA","DEC","USED/OR NOT","COMMENT_ON_PPXF","MORPHOLOGICAL_TYPE (BASIC DATA)","MORPHOLOGY_SHORTENED","REDSHIFT","REDSHIFT UNCERTAINTY","MAJOR_AXIS","MINOR_AXIS","BASIC_MAGNITUDE","MAJOR_DIAMETER (ESO Uppsala)","MINOR/MAJOR RATIO (ESO Uppsala)","POSITION ANGLE (ESO Uppsala)","MAJOR_DIAMETER (RC3)","MAJOR_DIAMETER_UNC (RC3)","MINOR/MAJOR RATIO (RC3)","MINOR/MAJOR RATIO UNC (RC3)","POSITION ANGLE (RC3)","HIPASS_RV50max","HIPASS_RV50min","HIPASS_RV20max ","HIPASS_RV20min ","HIPASS_Rvmom ","HIPASS_Rvsp","HIPASS_RVGSR ","HIPASS_RVLG ","HIPASS_RVCMB ","HIPASS_RV1 ","HIPASS_RV2 ","HIPASS_RVsp1 ","HIPASS_RVsp2 ","HIPASS_RVmask","HIPASS_W50max ","HIPASS_W50min ","HIPASS_W20max ","HIPASS_W20min ","HIPASS_Speak","HIPASS_Sint","HIPASS_RMS","HIPASS_RMSclip","HIPASS_RMScube","HIPASS_cube","HIPASS_Sigma","HIPASS_Boxsize","HIPASS_Qual","HIPASS_nb","HIPASS_cf","HIPASS_ext","RC3_PGC","RC3_D25","RC3_e_D25","RC3_R25","RC3_e_R25","RC3_Ae","RC3_e_Ae","A_e in arcsec","RC3_PA","RC3_BT","RC3_BT_code","RC3_e_BT","RC3_Bmag","RC3_e_Bmag","RC3_BoT","RC3_Ai","RC3_Ag","RC3_W50","RC3_e_W50","RC3_cz","2MASX_ID","2MASX_K_b/a","2MASX_K_PA","2MASX_K_mag","2MASX_K_mag_sigma","2MASX_K_mag_chi2","2MRS_E(B-V)","ABSOLUTE_MAGNITUDE_B","ABSOLUTE_MAGNITUDE_K","cos^2(i)","sini","INCLINATION_FROM_R25","HIPASS_W50max_z","HIPASS_W50max_zs","HIPASS_W50max_zst","HIPASS_W50max_zsti","BILBI_CENTRAL_VELOCITY_DISPERSION","BILBI_ERR_VELOCITY_DISP","BILBI_ROTATIONAL_VELOCITY","BILBI_ERR_ROTATIONAL_VELOCITY","BILBI_POSITION_ANGLE","BILBI_STD_DEV_POS_ANG","BILBI_COMMENT_POS_ANG","BILBI_Wmax_z","BILBI_Wmax_zs","BILBI_Wmax_zst","BILBI_Wmax_zsti","IN_THE_TABLE_OR_NOT"
1,1,"HIPASSJ0009-24","run2/night3","15.06.2012","NGC_0024",,1,"00h09m56.5s","-24d57m47s","not used?","ppxf found the center wrongly","SA(s)c         HII  ","Sc",0.001848,0.000007,5.8,1.3,12.38,380.19,0.189,46,345.3,8,0.234,0.011,46,552.8,552.8,552.5,552.5,550.2,468.9,571.2,606.2,246,389.9,718,200.1,3030.3,"389.9;718.0",212.6,212.6,236.2,236.2,0.3203,51.4,0.0082,0.0071,0.0122,190,158,28,1,0,0,0,701,1.76,0.01,0.63,0.02,1.12,0.01,79.0954043134,46,12.19,"  ",0.13,12.03,0.15,11.11,0.95,0.06,210,5,595,"00095654-2457472 ",0.28,43,8.955,0.04," ",0.02,-16.7048090021,-18.8711688336,0.0411465984,0.9792106012,78.2965508495,212.2078399118,208.7758399118,208.7702077668,213.2025608186,"None","None","None",,"None","None",,"None","None","None","None",1
2,2,"HIPASSJ0022-45","run8/night1","28.10.2014","NGC_0098",,1,"00h22m49.54s","-45d16m08.4s","used",,"SB(r)bc             ","Sbc",0.020599,0.000042,1.7,1.3,13.41,90.16,0.778,180,99.6,7.1,0.776,0.095,0,6175.5,6185.6,6162.6,6162.6,6171,6186.4,6116.5,6119.8,5956.2,6072.1,6264.8,4680.6,7665.7,"6072.1;6264.8",91.4,71.2,136.2,136.2,0.036,3.1,0.0069,0.0056,0.0115,146,158,28,1,1,0,0,1463,1.22,0.03,0.11,0.05,0.82,0.01,39.6416068805,0,13.41," ",0.13,13.57,0.21,13.23,0.16,0.03," "," ",6148,"00224951-4516084",0.8,50,9.759,0.04,5.476,0.015,-21.2204667862,-24.9656218241,0.5967528268,0.635017459,39.4212793796,89.5552513769,86.1232513769,83.7149956025,131.8310141203,119.2961566233,1.9892679023,"None",,"None","None","didn't converge well; few pixels to work; mostly core","None","None","None","None",1
3,3,"HIPASSJ0033-32","run8/night2","29.10.2014","IC_1554 ",,1,"00h33m07.35s","-32d15m30.1s","used?","few pixels to work","SB:(r:)0/a          ","S0a",0.005791,0.000023,1.4,0.8,13.95,78.52,0.571,24,84.8,10.3,0.589,0.057,24,1736.1,1736.1," "," ",1736.9,1731.3,1721.9,1744.7,1468.8,1669,1807.4,271.8,3218.9,"1669.0;1807.4",89.2,89.2," "," ",0.0716,6.2,0.0091,0.008,0.013,147,158,28,1,1,0,0,2000,1.15,0.05,0.23,0.04," "," ",,24," "," "," ",13.59,0.21,13.54,0,0.02," "," ",1776,"00330736-3215301",0.54,30,10.144,0.032,2.984,0.015,-18.0255789942,-21.4948576951,0.3371924213,0.814129952,54.5014241344,88.6864169594,85.2544169594,82.8069512924,101.71220343,44.2587350774,2.0143083386,47.726442461,,127.521053091,14.198094229,,47.4516499561,44.0196499561,39.4827010381,48.4968044021,1
4,4,"HIPASSJ0037-19","run8/night3","30.10.2014","NGC_0171",,1,"00h37m21.53s","-19d56m03.3s","used?","so few pixels to work","SB(r)ab        HII? ","Sab",0.013043,0.000022,2.1,1.9,12.9,121.62,0.822,109,128.3,6,0.871,0.062,"                    ",3884.7,3884.7,3885.4,3885.4,3883.6,3881.6,3908.1,3948.5,3576.5,3730,4016.8,2328.1,5418.8,"3730.0;4016.8",129.8,129.8,188.3,188.3,0.0537,6.8,0.0066,0.0058,0.0115,238,158,28,1,0,0,0,2232,1.33,0.02,0.06,0.03,0.98,0.01,57.2995551613," ",12.9," ",0.13,12.73,0.16,12.61,0.07,0.11," "," ",3824,"00372152-1956032",0.4,-60,9.214,0.034,3.609,0.021,-20.9610470718,-24.4466648941,0.7550502993,0.4949239342,29.6647345992,128.1288158548,124.6968158548,123.6946671963,249.9266223447,131.8258092219,2.6221176884,"None",,"None","None","mostly the core of the galaxy; std_dev was larger than the angle","None","None","None","None",1
5,5,"HIPASSJ0135-07","run8/night1","28.10.2014","NGC_0615",,1,"01h35m05.68s","-07d20m25.1s","used",,"SA(rs)b             ","Sb",0.006164,0.000017,3.6,1.4,12.47,"                    ","                    ","                    ",217.8,10.3,0.398,0.028,155,1836.4,1960.4,1833.4,1833.4,1841,1998.4,1872.4,1922.2,1550.4,1588.6,2070.8,225.9,3465.3,"1588.6;2070.8",378.2,130.2,405.4,405.4,0.071,17.4,0.0069,0.006,0.0115,289,158,28,1,1,0,0,5897,1.56,0.02,0.4,0.03,0.9,0.02,47.6596940835,155,12.47," ",0.13,12.3,0.22,11.75,0.56,0.1,368,5," ","01350567-0720250",0.4,-20,8.555,0.021,9.9,0.032,-20.0721904318,-23.3069164261,0.1461945203,0.9240159521,67.5204336802,375.8830568377,372.4510568377,372.4846119938,403.1149150223,140.7360143925,1.7229622783,185.095550506,,57.9230925181,6.7716246607,,183.961611135,180.529611135,180.4013694468,195.2362067394,1
6,6,"HIPASSJ0135-39","run8/night2","29.10.2014","NGC_0626",,1,"01h35m12.08s","-39d08m45.8s","used?","so few pixels to work","SAB(rs)bc           ","Sbc",0.018942,0.000021,1.9,1.9,13.39,87.1,0.972,43,117,11.3,0.955,0.117,"                    ",5678.6,5678.6," "," ",5683.4,5706.2,5616.2,5622.7,5480.3,5597.5,5781,4245.8,7167,"5597.5;5781.0",123.6,123.6," "," ",0.0908,10,0.0086,0.0064,0.0115,110,158,28,1,0,0,0,5901,1.29,0.04,0.02,0.05," "," ",," "," "," "," ",13.39,0.21,13.31,0.03,0.02," "," ",5623,"01351206-3908457",0.9,30,10.072,0.041,3.31,0.016,-21.083575882,-24.4722603758,0.9107252834,0.2987887491,17.3848671098,121.3022919852,117.8702919852,116.671180252,390.4805004222,135.5206094277,2.298341851,"None",,"None","None","mostly the core; so few pixels","None","None","None","None",1
7,7,"HIPASSJ0159-05","run2/night4","16.06.2012","NGC_0779","Airmass 1.16 + closed mirror after 7/8",1,"01h59m42.3s","-05d57m47s","used",,"SAB(r)b             ","Sb",0.00464,0.000013,4,1.2,11.95,"                    ","                    ","                    ",238.9,11.3,0.295,0.021,160,1391.9,1391.9,1382.2,1382.2,1385,1544.6,1404.6,1452,1117.2,1153.3,1596.9,200.1,3030.3,"1153.3;1596.9",362.8,362.8,402.6,402.6,0.0738,20.8,0.0068,0.0059,0.0115,290,158,28,1,1,0,0,7544,1.6,0.02,0.53,0.03,0.94,0.01,52.2578153974,160,11.95," ",0.13,11.87,0.2,11.19,0.73,0,364,5,1423,"01594262-0557509",0.36,-20,8.065,0.018,7.961,0.027,-19.8641452267,-23.0846655121,0.0737584811,0.9624144216,74.2413870736,361.1243828635,357.6923828635,357.7273133115,371.697789734,89.6796030676,1.2717315502,138.247426817,,31.1479115347,6.8013527241,"good pixel count; but mostly they are from the bulge",137.6089214216,134.1769214216,133.4108976369,138.6210499808,1
8,8,"HIPASSJ0205-32","run8/night3","30.10.2014","ESO_354G033",,1,"02h05m03.88s","-32d23m09.1s","not used","so few pixels to work","Sa:                 ","Sa",0.016551,0.000017,1,0.8,14.13,48.98,0.912,69,"                    ","                    ","                    ","                    ","                    ",4966.6,4966.6,4955.7,4955.7,4960.7,5009.2,4897.2,4909.2,4758.5,4822.2,5097.4,3429.7,6505.3,"4822.2;5097.4",138,138,179.3,179.3,0.0603,6.8,0.0076,0.0062,0.013,150,158,28,1,0,0,0,,,,,,,,,,,,,,,,,,,,,"02050385-3223073",0.8,-85,11.472,0.091,2.895,0.022,-34.1225412515,"None",1,0,0,135.7531496206,132.3211496206,131.5122436362,"None","None","None","None",,"None","None",,"None","None","None","None",1
9,9,"HIPASSJ0246-07","run8/night3","30.10.2014","NGC_1084",,1,"02h45m59.91s","-07d34m42.5s","used",,"SA(s)c         HII  ","Sc",0.004693,0.000013,3.26,1.23," 11.6g","                    ","                    ","                    ",194.2,9.2,0.562,0.027,35,1405.4,1405.4,1402.1,1402.1,1400.4,1304.9,1384.2,1420.3,1189.1,1187.3,1625,200.1,3030.3,"1187.3;1625.0",295.5,295.5,346.8,346.8,0.2706,70,0.0117,0.0099,0.0115,291,158,36,1,1,0,1,10464,1.51,0.02,0.25,0.02,0.97,0.02,55.9952580478,35,11.31,"M",0.1,11.6,0.25,10.9,0.38,0.06,293,6,1414,"02455992-0734431",0.62,40,7.93,0.023," ",0.027,-19.9794756122,-23.2944048235,0.3062375873,0.8329240138,56.4002871125,294.1196962654,290.6876962654,290.7296067499,349.046974203,65.3771119029,2.2644676217,174.446617537,,129.952321355,8.8159198454,"so spreaded",173.6317636701,170.1997636701,169.9889691563,204.0870071515,1
10,10,"HIPASSJ0258-36","run8/night2","29.10.2014","ESO_356G022",,1,"02h57m49.16s","-36d43m04.5s","not used","few pixels to work","SB(r)bc             ","Sbc",0.020551,0.000013,2.1,1.3,13.33,127.35,0.708,152,125.4,12.1,0.631,0.077,152,6058.8,6058.8,6084.1,6062.3,6068.3,6035.3,5964,5961.1,5932.4,5964.4,6201.3,4420,7775.3,"5964.4;6201.3",115.6,115.6,197.7,154.1,0.0462,5.3,0.0069,0.0059,0.0115,152,158,28,1,1,0,0,11197,1.32,0.04,0.2,0.05,1.04,0.02,65.7886917686,152,13.12," ",0.15,13.28,0.21,12.75,0.3,0.09," "," ",6170,"02574916-3643043",0.44,-60,9.636,0.042,2.989,0.022,-21.7026964311,-25.102188157,0.3893132818,0.7814644702,51.3948571643,113.2721441653,109.8401441653,108.379894372,138.688191856,149.2380388047,3.6284226495,"None",,"None","None",,"None","None","None","None",1
